0,0.21
1,0.178
2,0.141
3,0.19
4,0.177
5,0.233
6,0.241
7,0.233
8,0.309
9,0.278
10,0.209
11,0.246
12,0.299
13,0.256
14,0.198
15,0.278
16,0.211
17,0.241
18,0.26
19,0.424
20,0.333
21,0.345
22,0.247
23,0.243
24,0.252
25,0.26
26,0.298
27,0.277
28,0.279
29,0.305
30,0.371
31,0.226
32,0.327
33,0.345
34,0.3
35,0.274
36,0.409
37,0.245
38,0.399
39,0.331
40,0.319
41,0.381
42,0.306
43,0.399
44,0.49
45,0.283
46,0.335
47,0.417
48,0.397
49,0.375
50,0.342
51,2.732
52,0.41
53,0.355
54,0.385
55,0.344
56,0.388
57,0.337
58,0.465
59,0.404
60,0.27
61,0.392
62,0.332
63,0.347
64,0.404
65,0.421
66,0.314
67,0.344
68,0.332
69,0.343
70,0.289
71,0.345
72,0.451
73,0.267
74,0.415
75,0.333
76,0.36
77,0.416
78,0.394
79,0.438
80,0.4
81,0.413
82,0.233
83,0.352
84,0.29
85,0.461
86,0.403
87,0.368
88,0.319
89,0.308
90,0.366
91,0.499
92,0.432
93,0.473
94,0.418
95,0.437
96,0.349
97,0.434
98,0.312
99,0.329
100,0.364
101,0.406
102,0.456
103,0.333
104,0.493
105,0.397
106,0.448
107,0.372
108,0.432
109,0.376
110,0.336
111,0.422
112,0.412
113,0.359
114,0.375
115,0.329
116,0.471
117,0.354
118,0.351
119,0.392
120,0.421
121,0.316
122,0.294
123,0.413
124,0.47
125,0.399
126,0.423
127,0.408
128,0.454
129,0.444
130,0.355
131,0.403
132,0.468
133,0.477
134,0.434
135,0.377
136,2.193
137,0.494
138,0.465
139,0.39
140,0.325
141,0.376
142,0.382
143,0.32
144,0.399
145,0.434
146,0.374
147,0.381
148,0.449
149,0.339
150,0.44
151,0.327
152,0.455
153,0.391
154,0.343
155,0.418
156,0.479
157,0.473
158,0.433
159,0.488
160,0.395
161,0.515
162,0.465
163,0.432
164,0.529
165,0.443
166,0.355
167,0.475
168,0.539
169,0.394
170,0.358
171,0.467
172,0.406
173,0.497
174,0.505
175,0.464
176,0.4
177,0.46
178,0.397
179,0.489
180,0.394
181,0.361
182,0.45
183,0.413
184,0.256
185,0.479
186,0.448
187,0.402
188,0.554
189,0.465
190,0.39
191,0.357
192,0.406
193,0.426
194,0.405
195,0.468
196,0.471
197,0.369
198,0.482
199,0.496
200,0.383
201,0.538
202,0.361
203,0.425
204,0.576
205,0.475
206,0.46
207,0.417
208,0.422
209,0.319
210,0.463
211,0.456
212,0.475
213,0.422
214,0.396
215,0.504
216,0.331
217,0.389
218,0.276
219,0.476
220,0.443
221,0.471
222,2.25
223,0.409
224,0.478
